2015-10-09 22:11:05,325 [Worker-37] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.jiamingxie:leetcodePractice:0.0.1-SNAPSHOT @ /Users/jiamingxie/Documents/workspace/LeetCodePractice/leetcodePractice/pom.xml.
2015-10-09 22:11:06,268 [Worker-37] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /leetcodePractice/src/main/java
2015-10-09 22:11:06,270 [Worker-37] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /leetcodePractice/src/main/resources
2015-10-09 22:11:06,271 [Worker-37] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /leetcodePractice/src/test/java
2015-10-09 22:11:06,271 [Worker-37] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /leetcodePractice/src/test/resources
2015-10-09 22:11:09,285 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-09 22:11:09,292 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-09 22:11:09,295 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-09 22:11:09,296 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-11 14:11:36,646 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.jiamingxie:leetcodePractice:0.0.1-SNAPSHOT @ /Users/jiamingxie/Documents/workspace/LeetCodePractice/leetcodePractice/pom.xml.
2015-10-11 14:11:37,907 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-11 14:11:37,937 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-11 14:11:37,942 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-11 14:11:37,943 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 12:42:18,328 [Worker-207] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 12:42:18,345 [Worker-207] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 12:42:18,348 [Worker-207] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 12:42:18,349 [Worker-207] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 12:42:41,871 [Worker-212] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 12:42:41,872 [Worker-212] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 12:42:41,876 [Worker-212] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 12:42:41,876 [Worker-212] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 12:42:42,900 [Worker-213] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 12:42:42,901 [Worker-213] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 12:42:42,904 [Worker-213] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 12:42:42,905 [Worker-213] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 12:43:13,558 [Worker-208] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 12:43:13,559 [Worker-208] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 12:43:13,561 [Worker-208] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 12:43:13,562 [Worker-208] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 12:43:24,746 [Worker-208] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 12:43:24,747 [Worker-208] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 12:43:24,749 [Worker-208] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
